title,source,imageurl,description,author,articleurl,publishedat
Deepika Padukone on JNU attack: I faced it during Padmaavat. I hope this does not become the new normal,indiatoday.in,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202001/chhapaak6-770x433.jpeg?HgIp9Ja6jwtScrCIFBgHVnz8uSag7hr6,"Deepika Padukone is among a few Bollywood celebrities who have come out in support of Jawaharlal Nehru University students who were attacked by masked goons Sunday night inside their own campus. On Tuesday, Deepika visited JNU to show her support to the students and met JNUSU president Aishe Ghosh who was seriously injured during the attack.",Jyoti Kanyal,https://www.indiatoday.in/movies/celebrities/story/deepika-padukone-on-jnu-attack-i-faced-it-during-padmaavat-i-hope-this-doesn-t-become-the-new-normal-1634852-2020-01-08,2020-01-08 11:00:05.524315+05:30
All-round India make short work of Sri Lanka,news24online.com,https://cdn.news24online.com/static_dev/static_root/__sized__/media/2020/01/07/378cd041-7d82-41a2-bc4f-489cb74301db-crop-c0-5__0-5-750x450-70.jpg,All-round India ticked all the boxes on Jasprit Bumrah and Shikhar Dhawan's return to international cricket and swept Sri Lanka aside by seven wickets to take 1-0 lead in the second T20 international at the Holkar Stadium here on Tuesday.,IANS,https://news24online.com/news/all-round-india-make-short-work-sri-lanka-1523559e/,2020-01-08 15:17:13.715194+05:30
